iter	Passed	Remaining
841	16331	3064
842	16348	3044
843	16370	3025
844	16385	3005
845	16406	2986
846	16422	2966
847	16441	2947
848	16462	2927
849	16479	2908
850	16497	2888
851	16516	2869
852	16537	2849
853	16557	2830
854	16577	2811
855	16596	2791
856	16612	2771
857	16631	2752
858	16652	2733
859	16674	2714
860	16692	2694
861	16709	2675
862	16727	2655
863	16744	2635
864	16762	2616
865	16782	2596
866	16798	2576
867	16820	2557
868	16838	2538
869	16856	2518
870	16870	2498
871	16890	2479
872	16911	2460
873	16932	2441
874	16954	2422
875	16974	2402
876	16994	2383
877	17016	2364
878	17037	2345
879	17055	2325
880	17074	2306
881	17090	2286
882	17108	2266
883	17125	2247
884	17140	2227
885	17160	2208
886	17181	2188
887	17196	2168
888	17215	2149
889	17230	2129
890	17247	2109
891	17265	2090
892	17285	2071
893	17300	2051
894	17319	2031
895	17334	2012
896	17352	1992
897	17371	1973
898	17388	1953
899	17405	1933
900	17425	1914
901	17442	1895
902	17463	1875
903	17481	1856
904	17503	1837
905	17520	1817
906	17537	1798
907	17559	1779
908	17577	1759
909	17594	1740
910	17613	1720
911	17630	1701
912	17649	1681
913	17670	1662
914	17685	1642
915	17701	1623
916	17721	1604
917	17741	1584
918	17764	1565
919	17779	1546
920	17794	1526
921	17816	1507
922	17832	1487
923	17846	1467
924	17857	1447
925	17872	1428
926	17889	1408
927	17911	1389
928	17925	1370
929	17942	1350
930	17953	1330
931	17967	1310
932	17981	1291
933	18002	1272
934	18022	1252
935	18042	1233
936	18057	1214
937	18069	1194
938	18081	1174
939	18095	1155
940	18111	1135
941	18129	1116
942	18143	1096
943	18156	1077
944	18171	1057
945	18187	1038
946	18199	1018
947	18213	999
948	18230	979
949	18243	960
950	18256	940
951	18270	921
952	18280	901
953	18297	882
954	18311	862
955	18326	843
956	18340	824
957	18354	804
958	18365	785
959	18380	765
960	18394	746
961	18411	727
962	18418	707
963	18427	688
964	18434	668
965	18442	649
966	18449	629
967	18456	610
968	18462	590
969	18469	571
970	18476	551
971	18483	532
972	18490	513
973	18497	493
974	18503	474
975	18509	455
976	18516	435
977	18521	416
978	18526	397
979	18531	378
980	18536	359
981	18541	339
982	18546	320
983	18552	301
984	18559	282
985	18564	263
986	18568	244
987	18573	225
988	18578	206
989	18583	187
990	18587	168
991	18592	149
992	18596	131
993	18601	112
994	18605	93
995	18610	74
996	18614	56
997	18619	37
998	18624	18
999	18628	0
